 94 "-" "python-httpx/0.28.1" 0.001829
qdrant-1        | 2026-07-14T03:59:19.970761Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001699
qdrant-1        | 2026-07-14T03:59:19.993916Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001660
qdrant-1        | 2026-07-14T03:59:20.017282Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001659
qdrant-1        | 2026-07-14T03:59:20.040211Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001648
qdrant-1        | 2026-07-14T03:59:20.062868Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001662
qdrant-1        | 2026-07-14T03:59:20.085820Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001651
qdrant-1        | 2026-07-14T03:59:20.108885Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001837
qdrant-1        | 2026-07-14T03:59:20.131291Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 94 "-" "python-httpx/0.28.1" 0.001718
qdrant-1        | 2026-07-14T03:59:20.154240Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 94 "-" "python-httpx/0.28.1" 0.001694
qdrant-1        | 2026-07-14T03:59:20.177166Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 94 "-" "python-httpx/0.28.1" 0.001746
qdrant-1        | 2026-07-14T03:59:20.200168Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001708
qdrant-1        | 2026-07-14T03:59:20.222964Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001674
qdrant-1        | 2026-07-14T03:59:20.245828Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001723
qdrant-1        | 2026-07-14T03:59:20.268584Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001713
qdrant-1        | 2026-07-14T03:59:20.291292Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001680
qdrant-1        | 2026-07-14T03:59:20.314392Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001696
qdrant-1        | 2026-07-14T03:59:20.338393Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.003176
qdrant-1        | 2026-07-14T03:59:20.361795Z  INFO actix_web::middleware::logger: 172.18.0.6 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001833
