api-1              | INFO:     172.18.0.12:51406 - "GET /api/jobs?media_id=f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:56 +0000] "GET /api/jobs?media_id=f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 15486 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:57452 - "GET /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 17487 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51420 - "POST /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b/studio HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "POST /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b/studio HTTP/1.1" 200 349 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51412 - "GET /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b/people HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b/people HTTP/1.1" 200 93656 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51426 - "GET /api/media/f79ee055-1742-4870-a4b6-d8ed14fb846b/stream HTTP/1.1" 206 Partial Content
api-1              | INFO:     172.18.0.12:51430 - "GET /api/projects/8e28fd88-c31f-4bbe-b371-7233737df9c9/chat HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/projects/8e28fd88-c31f-4bbe-b371-7233737df9c9/chat HTTP/1.1" 200 2 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51456 - "GET /api/projects/8e28fd88-c31f-4bbe-b371-7233737df9c9/cut/feedback HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/projects/8e28fd88-c31f-4bbe-b371-7233737df9c9/cut/feedback HTTP/1.1" 200 12 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51444 - "GET /api/projects/8e28fd88-c31f-4bbe-b371-7233737df9c9/cut HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/projects/8e28fd88-c31f-4bbe-b371-7233737df9c9/cut HTTP/1.1" 200 92 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51464 - "GET /api/thumbnails/face_a6816d90-d65c-4634-8ff3-a03fc7f129b8.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:04:57 +0000] "GET /api/thumbnails/face_a6816d90-d65c-4634-8ff3-a03fc7f129b8.jpg HTTP/1.1" 200 10506 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
