obtv-admin@obtv-llm-2:~/obtv-ai$ docker compose logs --since 10m worker-cpu worker-gpu worker-gpu-2 | grep repair_link_imports
worker-cpu-1    |   . tasks.ingest.repair_link_imports
worker-gpu-1    |   . tasks.ingest.repair_link_imports
worker-gpu-2-1  |   . tasks.ingest.repair_link_imports
worker-cpu-1    | [2026-07-31 17:55:50,503: INFO/MainProcess] Task tasks.ingest.repair_link_imports[02593ede-5cce-427a-b885-414d12002354] received
worker-cpu-1    | [2026-07-31 17:55:50,516: WARNING/ForkPoolWorker-5] [repair_link_imports] link-import repair: 0 checked, 0 healthy, 0 re-queued, 0 broken without a recoverable URL
worker-cpu-1    | [2026-07-31 17:55:50,517: INFO/ForkPoolWorker-5] Task tasks.ingest.repair_link_imports[02593ede-5cce-427a-b885-414d12002354] succeeded in 0.012665492977248505s: 'link-import repair: 0 checked, 0 healthy, 0 re-queued, 0 broken without a recoverable URL'
worker-cpu-1    | [2026-07-31 17:56:21,737: INFO/MainProcess] Task tasks.ingest.repair_link_imports[087bae04-65b3-4df0-899a-ee196847e4c9] received
worker-cpu-1    | [2026-07-31 17:56:21,744: WARNING/ForkPoolWorker-5] [repair_link_imports] link-import repair: 0 checked, 0 healthy, 0 re-queued, 0 broken without a recoverable URL
worker-cpu-1    | [2026-07-31 17:56:21,746: INFO/ForkPoolWorker-5] Task tasks.ingest.repair_link_imports[087bae04-65b3-4df0-899a-ee196847e4c9] succeeded in 0.0071090190031100065s: 'link-import repair: 0 checked, 0 healthy, 0 re-queued, 0 broken without a recoverable URL'
worker-cpu-1    | [2026-07-31 17:56:43,936: INFO/MainProcess] Task tasks.ingest.repair_link_imports[ba7194b5-4af3-4aad-b852-91883550d439] received
worker-cpu-1    | [2026-07-31 17:56:43,939: WARNING/ForkPoolWorker-5] [repair_link_imports] link-import repair: 0 checked, 0 healthy, 0 re-queued, 0 broken without a recoverable URL
worker-cpu-1    | [2026-07-31 17:56:43,939: INFO/ForkPoolWorker-5] Task tasks.ingest.repair_link_imports[ba7194b5-4af3-4aad-b852-91883550d439] succeeded in 0.0027928669878747314s: 'link-import repair: 0 checked, 0 healthy, 0 re-queued, 0 broken without a recoverable URL'
