obtv-admin@obtv-llm-2:~/obtv-ai$ docker compose logs --tail 20 worker-gpu worker-gpu-2 worker-cpu
docker compose exec redis redis-cli llen gpu
docker compose exec redis redis-cli llen cpu
worker-gpu-2-1  | [2026-07-18 05:15:18,450: INFO/ForkPoolWorker-1] Processing audio with duration 39:23.243
worker-gpu-2-1  | [2026-07-18 05:15:19,960: INFO/ForkPoolWorker-1] Detected language 'en' with probability 0.99
worker-gpu-2-1  | [2026-07-18 05:16:47,699: INFO/ForkPoolWorker-1] Task tasks.transcribe.transcribe_audio[985373c0-22b9-4e84-bf05-8d518473e05f] succeeded in 90.77118250681087s: None
worker-gpu-2-1  | [2026-07-18 05:16:47,700: INFO/MainProcess] Task tasks.visual_embed.embed_scenes[22c22905-2785-4dd1-9871-ed66279877ff] received
worker-gpu-2-1  | [2026-07-18 05:16:49,572: INFO/ForkPoolWorker-1] HTTP Request: GET http://qdrant:6333/collections/scenes "HTTP/1.1 200 OK"
worker-gpu-2-1  | [2026-07-18 05:16:49,582: INFO/ForkPoolWorker-1] HTTP Request: POST http://qdrant:6333/collections/scenes/points/delete?wait=true "HTTP/1.1 200 OK"
worker-gpu-2-1  | [2026-07-18 05:16:49,605: INFO/ForkPoolWorker-1] HTTP Request: PUT http://qdrant:6333/collections/scenes/points?wait=true "HTTP/1.1 200 OK"
worker-gpu-2-1  | [2026-07-18 05:16:49,617: INFO/ForkPoolWorker-1] Task tasks.visual_embed.embed_scenes[22c22905-2785-4dd1-9871-ed66279877ff] succeeded in 1.916063154116273s: None
worker-gpu-2-1  | [2026-07-18 05:16:49,618: INFO/MainProcess] Task tasks.face_detect.detect_faces[0604e50a-722c-4e90-bd73-74db0a72dd7c] received
worker-gpu-2-1  | [2026-07-18 05:16:55,776: INFO/ForkPoolWorker-1] Task tasks.face_detect.detect_faces[0604e50a-722c-4e90-bd73-74db0a72dd7c] succeeded in 6.157370639033616s: None
worker-gpu-2-1  | [2026-07-18 05:16:55,777: INFO/MainProcess] Task tasks.visual_embed.embed_scenes[00b99ab5-37a4-4bcc-a5ba-1ab4a8848efd] received
worker-gpu-2-1  | [2026-07-18 05:16:57,577: INFO/ForkPoolWorker-1] HTTP Request: GET http://qdrant:6333/collections/scenes "HTTP/1.1 200 OK"
worker-gpu-2-1  | [2026-07-18 05:16:57,588: INFO/ForkPoolWorker-1] HTTP Request: POST http://qdrant:6333/collections/scenes/points/delete?wait=true "HTTP/1.1 200 OK"
worker-cpu-1    | [2026-07-18 05:18:30,582: INFO/MainProcess] Task tasks.scene_detect.detect_scenes[112df587-44cb-4bb6-83e3-2882ea402105] received
worker-cpu-1    | [2026-07-18 05:18:30,666: INFO/ForkPoolWorker-1] Detecting scenes...
worker-cpu-1    | [2026-07-18 05:18:40,503: INFO/ForkPoolWorker-2] Task tasks.proxy.create_proxy[39c21a5e-3016-4855-8ba7-e24f9dabcaaf] succeeded in 61.53070422401652s: None
worker-gpu-1    | [2026-07-18 05:17:23,794: INFO/ForkPoolWorker-1] Task tasks.face_detect.detect_faces[e9cd9635-ce28-4700-8150-0603c63512fa] succeeded in 6.178521255031228s: None
worker-gpu-1    | [2026-07-18 05:17:23,796: INFO/MainProcess] Task tasks.transcribe.transcribe_audio[c798db3b-d4b7-49cd-9687-9eaaf8eb2bc3] received
worker-gpu-1    | [2026-07-18 05:17:25,992: INFO/ForkPoolWorker-1] Processing audio with duration 38:49.813
worker-gpu-1    | [2026-07-18 05:17:28,090: INFO/ForkPoolWorker-1] Detected language 'en' with probability 0.97
worker-gpu-1    | [2026-07-18 05:19:35,936: INFO/ForkPoolWorker-1] Task tasks.transcribe.transcribe_audio[c798db3b-d4b7-49cd-9687-9eaaf8eb2bc3] succeeded in 132.13942451262847s: None
worker-gpu-1    | [2026-07-18 05:19:35,937: INFO/MainProcess] Task tasks.diarize.run_diarization[6d6b194a-62ff-4fa3-8be9-daf8a9f5c4fa] received
worker-gpu-1    | [2026-07-18 05:19:36,960: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.10/dist-packages/pyannote/audio/pipelines/speaker_diarization.py:567: UserWarning: Ignoring unexpected keyword arguments: return_embeddings
worker-gpu-2-1  | [2026-07-18 05:16:57,616: INFO/ForkPoolWorker-1] HTTP Request: PUT http://qdrant:6333/collections/scenes/points?wait=true "HTTP/1.1 200 OK"
worker-gpu-2-1  | [2026-07-18 05:16:57,626: INFO/ForkPoolWorker-1] Task tasks.visual_embed.embed_scenes[00b99ab5-37a4-4bcc-a5ba-1ab4a8848efd] succeeded in 1.8487640470266342s: None
