obtv-admin@obtv-llm-2:~/obtv-ai$ docker compose logs --tail=100 watcher
watcher-1  | 2026-08-20 22:36:12,974 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:12,975 INFO Ingest queued: 40d6bfa9-34d3-4800-8ec3-b7e95c477325
watcher-1  | 2026-08-20 22:36:12,975 INFO Ingesting: /media2/Abraham Accords/SPL_20210610_Cam01_P0014943-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,028 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,028 INFO Ingest queued: 7bcd15f2-c297-4c3e-8d2e-eed10443498c
watcher-1  | 2026-08-20 22:36:13,029 INFO Ingesting: /media2/Abraham Accords/SPL_20210429_Cam02_P1033532-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,090 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,091 INFO Ingest queued: f5357b6b-8ba8-4147-8953-98aa621a01e5
watcher-1  | 2026-08-20 22:36:13,091 INFO Ingesting: /media2/Abraham Accords/SPL_20210729_Cam02_P0020648-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,150 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,151 INFO Ingest queued: dd7cd59d-c882-4f49-bd48-cd179a06f7be
watcher-1  | 2026-08-20 22:36:13,151 INFO Ingesting: /media2/Abraham Accords/SPL_20210616_Cam04_P0044488-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,208 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,209 INFO Ingest queued: a937a6b3-36db-4bf0-802e-ab54c1037632
watcher-1  | 2026-08-20 22:36:13,209 INFO Ingesting: /media2/Abraham Accords/HD-JF261802-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,267 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,267 INFO Ingest queued: 5b43983e-1612-411d-9e6c-3d69b0288222
watcher-1  | 2026-08-20 22:36:13,268 INFO Ingesting: /media2/Abraham Accords/SPL_20210505_Cam05_P1077882-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,325 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,326 INFO Ingest queued: 1231033c-bef1-4707-98bb-77fd90699c05
watcher-1  | 2026-08-20 22:36:13,326 INFO Ingesting: /media2/Abraham Accords/SPL_20210429_Cam02_P1033535-proxy.mp4
watcher-1  | 2026-08-20 22:36:13,384 INFO HTTP Request: POST http://api:8000/api/media "HTTP/1.1 202 Accepted"
watcher-1  | 2026-08-20 22:36:13,385 INFO Ingest queued: 174f6873-ae97-4864-b309-5c7fef82e278
watcher-1  | 2026-08-20 22:36:13,385 INFO Ingesting: /media2/Abraham Accords/SPL_20210505_Cam05_P1077883-proxy.mp4
