qdrant-1        | 2026-07-14T01:56:11.074810Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001633
qdrant-1        | 2026-07-14T01:56:11.095137Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001733
qdrant-1        | 2026-07-14T01:56:11.115790Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001584
qdrant-1        | 2026-07-14T01:56:11.136167Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001685
qdrant-1        | 2026-07-14T01:56:11.156366Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001642
qdrant-1        | 2026-07-14T01:56:11.175964Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001579
qdrant-1        | 2026-07-14T01:56:11.196181Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001760
qdrant-1        | 2026-07-14T01:56:11.215974Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001648
qdrant-1        | 2026-07-14T01:56:11.235690Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 94 "-" "python-httpx/0.28.1" 0.001650
qdrant-1        | 2026-07-14T01:56:11.255352Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 93 "-" "python-httpx/0.28.1" 0.001647
qdrant-1        | 2026-07-14T01:56:11.276719Z  INFO actix_web::middleware::logger: 172.18.0.7 "PUT /collections/scenes/points?wait=true HTTP/1.1" 200 94 "-" "python-httpx/0.28.1" 0.002980
