worker-bagel-1  | INFO:     127.0.0.1:39214 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:41722 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:52690 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:47652 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:47952 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:53292 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:42038 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:36640 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:40966 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:51158 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:46440 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:51200 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:58422 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:49170 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:48814 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:53688 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:52818 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:42350 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:42728 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:49490 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:47558 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:53718 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:53958 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:38598 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:41058 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:41988 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:58812 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:48822 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:40108 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:36228 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:44580 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:56456 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:56022 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:60802 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:40114 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:35306 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:59666 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:52712 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:48600 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:41150 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:47600 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:50802 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:40550 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:33502 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:60690 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:58264 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:43878 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:38708 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:51554 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:38464 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:49982 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:45480 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:56836 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:58870 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:32812 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:34136 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:54980 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:35592 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:60824 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:59300 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:34626 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:58026 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:45938 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:50970 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:41972 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:57970 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:52228 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:41184 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     192.168.101.2:43546 - "POST /caption HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:38204 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:33206 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:38598 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:59036 - "GET /health HTTP/1.1" 200 OK
worker-bagel-1  | INFO:     127.0.0.1:37308 - "GET /health HTTP/1.1" 200 OK
